species,decimalLatitude,decimalLongitude
Buceros rhinoceros,4.962297,117.80357
Anorrhinus galeritus,5.0198,117.7462
Anthracoceros albirostris,5.477855,118.221375
Buceros rhinoceros,5.876139,117.944145
Anorrhinus galeritus,2.814753,102.1667
Anthracoceros malayanus,5.468624,118.187744
Anthracoceros albirostris,5.48402,118.20208
Rhyticeros undulatus,5.530219,118.07522
Anorrhinus galeritus,5.876139,117.944145
Anthracoceros albirostris,5.480707,118.25985
Anthracoceros albirostris,2.577569,101.80257
Aceros corrugatus,5.498167,118.280914
Anorrhinus galeritus,5.465589,118.25376
Anthracoceros albirostris,4.3999,102.40786
Buceros rhinoceros,5.465589,118.25376
Buceros rhinoceros,5.508605,118.282265
Anthracoceros malayanus,6.247586,100.81462
Anthracoceros malayanus,4.678866,102.057495
Buceros rhinoceros,5.876139,117.944145
Rhyticeros undulatus,4.397206,102.402176
Berenicornis comatus,4.471011,117.91626
Aceros corrugatus,5.873053,117.946144
Rhyticeros undulatus,5.0198,117.7462
Aceros corrugatus,5.415138,118.03733
Anthracoceros malayanus,5.498167,118.280914
Rhyticeros undulatus,5.465589,118.25376
Anthracoceros albirostris,5.53757,118.297104
Buceros bicornis,5.606378,101.54305
Aceros corrugatus,5.47382,118.1995
Buceros bicornis,5.578515,101.34368
Anthracoceros albirostris,5.488901,118.22541
Anthracoceros malayanus,5.0198,117.7462
Buceros rhinoceros,4.962297,117.80357
Buceros rhinoceros,1.87187,103.86557
Rhyticeros undulatus,3.716435,101.73666
Anthracoceros albirostris,2.808462,103.4917
Anthracoceros albirostris,5.146054,103.04719
Anthracoceros albirostris,4.962297,117.80357
Anthracoceros albirostris,5.50429,118.27074
Buceros bicornis,6.320417,100.481384
Anthracoceros malayanus,5.876139,117.944145
Buceros rhinoceros,5.415138,118.03733
Anorrhinus galeritus,4.436608,115.5152
Anorrhinus galeritus,6.247586,100.81462
Anthracoceros malayanus,4.962297,117.80357
Anthracoceros albirostris,3.749739,114.23772
Buceros rhinoceros,2.285998,103.70631
Anthracoceros albirostris,5.239341,118.71002
Anthracoceros albirostris,5.508605,118.282265
Anthracoceros malayanus,5.876139,117.944145
Buceros bicornis,5.60621,101.54252
Buceros rhinoceros,5.0198,117.7462
Anorrhinus galeritus,5.480707,118.25985
Buceros bicornis,6.366567,99.81818
Anthracoceros malayanus,5.498367,118.2786
Anthracoceros malayanus,1.861087,103.892876
Anthracoceros malayanus,4.962297,117.80357
Berenicornis comatus,4.3992,117.8892
Anthracoceros albirostris,4.857081,100.74997
Buceros rhinoceros,5.005263,102.52162
Berenicornis comatus,1.613402,110.197655
Anthracoceros malayanus,2.506612,103.75643
Aceros corrugatus,5.578515,101.34368
Anthracoceros albirostris,6.429692,99.67518
Anthracoceros albirostris,4.962297,117.80357
Anthracoceros malayanus,5.468624,118.187744
Berenicornis comatus,5.53757,118.297104
Anthracoceros malayanus,6.247586,100.81462
Rhyticeros undulatus,6.016117,116.55173
Anthracoceros albirostris,5.486222,118.27065
Rhyticeros undulatus,6.366412,99.77901
Anthracoceros albirostris,4.857081,100.74997
Buceros rhinoceros,5.50781,118.29077
Anorrhinus galeritus,5.876139,117.944145
Buceros rhinoceros,5.0198,117.7462
Anorrhinus galeritus,5.005263,102.52162
Buceros bicornis,5.005263,102.52162
Anthracoceros albirostris,5.530219,118.07522
Anthracoceros albirostris,5.876139,117.944145
Buceros rhinoceros,5.53757,118.297104
Anthracoceros malayanus,5.508605,118.282265
Anthracoceros albirostris,5.508605,118.282265
Anthracoceros albirostris,4.865498,100.76212
Buceros rhinoceros,5.53757,118.297104
Anorrhinus galeritus,5.187249,118.50236
Aceros corrugatus,5.493919,118.28363
Buceros rhinoceros,5.484691,118.26486
Anthracoceros albirostris,5.508605,118.282265
Anthracoceros malayanus,5.0198,117.7462
Anthracoceros malayanus,5.486222,118.27065
Anthracoceros malayanus,2.285998,103.70631
Anthracoceros malayanus,5.53757,118.297104
Anthracoceros albirostris,5.876139,117.944145
Anthracoceros malayanus,5.415138,118.03733
Anthracoceros albirostris,5.508605,118.282265
Buceros rhinoceros,3.861025,103.309044
Anthracoceros albirostris,5.0198,117.7462
Anthracoceros albirostris,5.50429,118.27074
Upupa epops,4.9566,100.479095
Buceros rhinoceros,5.0198,117.7462
Rhyticeros subruficollis,5.60621,101.54252
Anthracoceros albirostris,5.468624,118.187744
Anthracoceros malayanus,5.488901,118.22541
Anthracoceros albirostris,1.725807,103.91195
Anthracoceros albirostris,4.585751,114.029205
Anthracoceros malayanus,5.876139,117.944145
Buceros rhinoceros,5.488901,118.22541
Anthracoceros malayanus,4.962297,117.80357
Buceros rhinoceros,5.479963,118.24204
Aceros corrugatus,5.486863,118.271774
Berenicornis comatus,5.214426,118.71979
Anthracoceros malayanus,5.876139,117.944145
Rhyticeros undulatus,6.366567,99.81818
Anthracoceros malayanus,5.498167,118.280914
Anthracoceros albirostris,5.468624,118.187744
Anorrhinus galeritus,5.0198,117.7462
Anthracoceros albirostris,6.434687,99.82393
Anthracoceros malayanus,5.876139,117.944145
Buceros rhinoceros,5.0198,117.7462
Anthracoceros albirostris,5.239341,118.71002
Buceros rhinoceros,5.0198,117.7462
Anthracoceros malayanus,2.62267,103.331566
Rhyticeros undulatus,6.020841,116.54251
Anthracoceros malayanus,3.217826,101.877266
Buceros rhinoceros,5.367517,117.42956
Anthracoceros malayanus,5.873053,117.946144
Buceros rhinoceros,5.876139,117.944145
Buceros rhinoceros,5.876139,117.944145
Berenicornis comatus,5.508605,118.282265
Anthracoceros albirostris,4.85204,100.7501
Buceros rhinoceros,5.477855,118.221375
Anorrhinus galeritus,6.320417,100.481384
Buceros bicornis,5.60621,101.54252
Buceros bicornis,6.434687,99.82393
Buceros rhinoceros,5.86719,117.94892
Rhyticeros undulatus,3.716434,101.738434
Anthracoceros albirostris,5.530219,118.07522
Anthracoceros malayanus,2.585092,103.798874
Anthracoceros malayanus,5.876139,117.944145
Anthracoceros malayanus,5.480707,118.25985
Anorrhinus galeritus,5.876393,117.9441
Anthracoceros albirostris,5.468624,118.187744
Anorrhinus galeritus,5.025315,117.74946
Anorrhinus galeritus,5.0198,117.7462
Buceros bicornis,5.604801,101.5418
Anthracoceros albirostris,2.808462,103.4917
Berenicornis comatus,5.493919,118.28363
Anthracoceros malayanus,1.861087,103.892876
